id,type,volume(mm^3),weight(g),
apple001,apple,310,244.5,
apple002,apple,290,232.5,
apple003,apple,280,219,
apple004,apple,300,234,
apple005,apple,280,212.5,
apple006,apple,290,238,
apple007,apple,420,325,
apple008,apple,300,238,
apple009,apple,360,288.5,
apple010,apple,330,260.5,
apple011,apple,310,230,
apple012,apple,310,246,
apple013,apple,350,252.5,
apple014,apple,290,236,
apple015,apple,390,293.5,
apple016,apple,330,272.5,
apple017,apple,330,255,
apple018,apple,290,231.5,
apple019,apple,300,255,
